File,ZPE,H_correction,G_correction,EplusZPE,H,G,SCF_gas,SCF_solvent,G_solv
Fe_2_B3LYP.log,0.148736,0.167854,0.103936,-1721.700666,-1721.681547,-1721.745465,-1721.849401,-1722.100648,-1721.996712
Fe_2_M06.log,0.15008,0.168845,0.106464,-1721.407312,-1721.388547,-1721.450929,-1721.557393,-1721.829696,-1721.723232
Fe_2_M05-2X.log,0.150179,0.169019,0.106311,-1721.533835,-1721.514995,-1721.577703,-1721.684014,-1721.957593,-1721.851282
Fe_2_wB97X-D.log,0.150799,0.169941,0.106185,-1721.534009,-1721.514868,-1721.578623,-1721.684808,-1721.960335,-1721.85415
Fe_2_M05.log,0.149377,0.167935,0.105206,-1721.484356,-1721.465798,-1721.528527,9999999,9999999,9999999.105
Fe_2_B2PLYP.log,0.149018,0.168329,0.103188,-1721.031021,-1721.01171,-1721.076852,-1720.664606,-1720.93998,-1720.836792
Fe_2_TPSSh.log,0.147055,0.166603,0.101555,-1721.628459,-1721.608911,-1721.673959,-1721.775514,-1722.05132,-1721.949765
Fe_2_bpw91.log,0.144074,0.16396,0.098295,-1721.703015,-1721.683128,-1721.748794,-1721.847088,-1722.122124,-1722.023829
Fe_2_BMK.log,0.152779,0.171408,0.108693,-1720.914047,-1720.895417,-1720.958132,-1721.066825,-1721.316172,-1721.207479
Fe_2_n12.log,0.150207,0.169072,0.106057,-1721.726735,-1721.70787,-1721.770885,-1721.876942,-1722.155302,-1722.049245
Fe_2_M06-L.log,0.149818,0.16905,0.105058,-1721.540353,-1721.521121,-1721.585112,-1721.690171,-1721.964338,-1721.85928
Fe_2_BLYP.log,0.14333,0.163018,0.097467,-1721.617605,-1721.597917,-1721.663468,-1721.760934,-1722.007723,-1721.910256
Fe_2_PBE0.log,0.150274,0.169399,0.105569,-1720.946528,-1720.927403,-1720.991233,-1721.096802,-1721.357733,-1721.252164
Fe_2_M06-HF.log,0.150049,0.168836,0.106046,-1721.505673,-1721.486886,-1721.549676,-1721.655722,-1721.929447,-1721.823401
Fe_2_MPW1PW91.log,0.150125,0.16928,0.105551,-1721.61299,-1721.593835,-1721.657564,-1721.763115,-1722.038866,-1721.933315
Fe_2_OPBE.log,0.146437,0.166892,0.099745,-1721.63921,-1721.618755,-1721.685902,-1721.785647,-1722.060193,-1721.960448
Fe_2_OTPSS.log,0.146371,0.166833,0.099723,-1721.654912,-1721.634449,-1721.70156,-1721.801282,-1722.075581,-1721.975858
Fe_2_B97D.log,0.145148,0.16505,0.099081,-1721.871353,-1721.851451,-1721.917421,-1722.016501,-1722.292593,-1722.193512
Fe_2_OVWN5.log,0.146071,0.166769,0.099073,-1724.667789,-1724.647091,-1724.714786,-1724.81386,-1725.086753,-1724.98768
Fe_2_M06-2X.log,0.15031,0.169088,0.106282,-1721.431438,-1721.41266,-1721.475467,-1721.581748,-1721.856413,-1721.750131
Fe_2_M08-HX.log,0.149782,0.168681,0.104187,-1721.433781,-1721.414882,-1721.479376,9999999,9999999,9999999.104
Fe_2_wB97X.log,0.150552,0.169647,0.105873,-1721.552924,-1721.533829,-1721.597603,-1721.703476,-1721.979069,-1721.873196
Fe_2_PBE.log,0.14409,0.163856,0.098167,-1720.910231,-1720.890464,-1720.956153,-1721.05432,-1721.316379,-1721.218212
Fe_2_X3LYP.log,0.148225,0.167518,0.103306,-1721.430515,-1721.411222,-1721.475435,-1721.578741,-1721.854364,-1721.751058
Fe_2_wB97.log,0.150131,0.169198,0.105483,-1721.647629,-1721.628562,-1721.692278,-1721.797761,-1722.073333,-1721.96785
Fe_2_OLYP.log,0.145257,0.165583,0.098826,-1721.763522,-1721.743197,-1721.809953,-1721.90878,-1722.183129,-1722.084303
Fe_2_HSE06.log,0.149692,0.168907,0.104976,-1720.986393,-1720.967178,-1721.031109,-1721.136086,-1721.411964,-1721.306988
Fe_2_O3LYP.log,0.148096,0.167852,0.102717,-1721.66071,-1721.640953,-1721.706089,-1721.808806,-1722.083631,-1721.980914
Fe_2_CAM-B3LYP.log,0.149248,0.168314,0.104591,-1721.56577,-1721.546705,-1721.610428,-1721.715019,-1721.991151,-1721.88656
Fe_2_svwn.log,0.143438,0.162408,0.095375,-1717.543261,-1717.524291,-1717.591325,9999999,9999999,9999999.095
Fe_2_B3PW91.log,0.149839,0.168836,0.105407,-1721.475968,-1721.456971,-1721.5204,-1721.625807,-1721.874147,-1721.76874
