File Name,Fe-O Bond 1,Fe-O Bond 2,Fe-O Bond 3,Fe-O Bond 4,Fe-O Bond 5,Fe-O Bond 6,Average,STDev
B2PLYP,2.124540379,2.124560856,2.147504445,2.147550619,2.162376135,2.162536441,2.14,0.02
B3LYP,2.119041361,2.119472619,2.14280915,2.143119628,2.153366364,2.153503229,2.14,0.02
B3PW91,2.110597212,2.110639951,2.136541006,2.136705675,2.141067829,2.141377234,2.13,0.01
B97D,2.119653147,2.119661826,2.145056697,2.145091559,2.161053988,2.162277522,2.14,0.02
BLYP,2.125489201,2.125499722,2.155997589,2.156123564,2.163776962,2.164139047,2.15,0.02
BMK,2.135447323,2.135514215,2.136072597,2.136220554,2.136508214,2.136619031,2.14,0.00
bpw91,2.124273646,2.124291919,2.162929701,2.162940374,2.165651501,2.165663549,2.15,0.02
CAM-B3LYP,2.112403332,2.112428592,2.13604234,2.13605403,2.150549644,2.150797613,2.13,0.02
HSE06,2.11319947,2.113227125,2.141414718,2.141481774,2.147417947,2.147538133,2.13,0.02
M05,2.135299571,2.13540907,2.147204008,2.147764726,2.175617527,2.1899172,2.16,0.02
M05-2X,2.131933181,2.131993039,2.132664829,2.13267394,2.132967523,2.133016694,2.13,0.00
M06,2.113470731,2.113512495,2.131999644,2.132138197,2.1564853,2.156647268,2.13,0.02
M06-2X,2.137432429,2.13752605,2.138190316,2.138384464,2.138535557,2.13855404,2.14,0.00
M06-HF,2.135694943,2.135810202,2.13597103,2.136010706,2.136360931,2.136371821,2.14,0.00
M06-L,2.117651037,2.117712055,2.14872391,2.148737972,2.159751936,2.159946577,2.14,0.02
M08-HX,2.141155654,2.142471834,2.144066922,2.145508361,2.146045272,2.147070309,2.14,0.00
MPW1PW91,2.116964122,2.11702187,2.145682131,2.145901034,2.151268666,2.151928831,2.14,0.02
n12,2.077460346,2.077480784,2.105113435,2.105152173,2.12675824,2.127071603,2.10,0.02
O3LYP,2.150923249,2.151271804,2.184955174,2.185428633,2.194885344,2.198663994,2.18,0.02
OLYP,2.160867404,2.16092547,2.201679957,2.2017702,2.212600504,2.212968794,2.19,0.02
OPBE,2.148290028,2.148480841,2.189958748,2.189978376,2.194100677,2.194263008,2.18,0.02
OTPSS,2.153440072,2.153456629,2.196539962,2.196777505,2.198782561,2.198804908,2.18,0.02
OVWN5,2.204280607,2.204302923,2.242264655,2.242267806,2.272932041,2.272962013,2.24,0.03
PBE,2.111174524,2.11119746,2.145833325,2.145860305,2.148260671,2.148480511,2.14,0.02
PBE0,2.109918984,2.109922795,2.135794918,2.135808049,2.141413483,2.141455705,2.13,0.02
svwn,2.055790761,2.055991049,2.056107665,2.056109473,2.056354059,2.057025223,2.06,0.00
TPSSh,2.11165666,2.111656966,2.142074782,2.142077024,2.148985071,2.148997962,2.13,0.02
wB97,2.1213041,2.121311096,2.126478325,2.126485702,2.168888677,2.1688887,2.14,0.02
wB97X,2.120558043,2.120712098,2.136647065,2.136766798,2.162095685,2.162207811,2.14,0.02
wB97X-D,2.121479062,2.121482086,2.143628799,2.143636157,2.158918955,2.158987223,2.14,0.02
X3LYP,2.125476007,2.12548436,2.15124008,2.151279827,2.165758292,2.166061261,2.15,0.02
