functional,error,error_layer_2,abs_error
B3LYP,0.09,-0.02,0.02
BLYP,0.62,-0.03,0.03
HSE06,0.09,-0.06,0.06
PBE,0.49,-0.13,0.13
M08-HX,0.29,0.14,0.14
svwn,0.04,-0.27,0.27
BMK,0.48,0.41,0.41
PBE0,1.26,-0.42,0.42
X3LYP,0.49,0.44,0.44
wB97,0.65,0.65,0.65
M06-L,-0.52,-0.85,0.85
OPBE,1.49,0.93,0.93
M06,1.15,1.05,1.05
M05,1.22,1.08,1.08
wB97X-D,1.08,1.13,1.13
B2PLYP,1.26,1.23,1.23
M06-HF,1.31,1.24,1.24
OTPSS,-0.77,-1.43,1.43
n12,2.25,1.45,1.45
bpw91,-0.89,-1.54,1.54
M06-2X,1.70,1.54,1.54
B3PW91,2.19,2.02,2.02
MPW1PW91,2.28,2.07,2.07
CAM-B3LYP,2.23,2.15,2.15
TPSSh,2.43,2.43,2.43
OLYP,1.54,2.57,2.57
wB97X,3.01,2.94,2.94
OVWN5,13.72,3.12,3.12
B97D,4.04,3.31,3.31
O3LYP,4.17,3.90,3.90
